	idx	Ne_A	Ne_A_B	Ne_B	T	likelihood	nlopt_exit_code	nlopt_time
79	79	523854.2281785957	835379.6129343992	470212.42113693437	2514070.264566894	-233498977.26551825	NLOPT_XTOL_REACHED	00h:26m:08.102s
80	80	522278.57825231156	838208.3515514722	469020.6146231138	2508662.765207488	-233332337.12462583	NLOPT_XTOL_REACHED	00h:26m:08.102s
81	81	522991.9531925888	832673.8505316189	469978.6994150362	2517737.6797315804	-233369517.01351243	NLOPT_XTOL_REACHED	00h:26m:08.102s
82	82	522211.13833428256	836741.2452543455	468471.84928282525	2505246.700988931	-233250997.6894102	NLOPT_XTOL_REACHED	00h:26m:08.102s
83	83	523190.7329053214	836419.7115616926	470180.5082206524	2508101.935028176	-233429475.1449035	NLOPT_XTOL_REACHED	00h:26m:08.102s
84	84	522939.8811463318	834406.1234560009	470387.00451195065	2513687.8254305567	-233422909.2056023	NLOPT_XTOL_REACHED	00h:26m:08.102s
85	85	521247.68872528133	835789.1021354606	469089.0591581565	2509678.7431131075	-233238739.76279208	NLOPT_XTOL_REACHED	00h:26m:08.102s
86	86	522518.2882120104	835508.9997414631	468804.3631724568	2512616.372279332	-233308892.80256152	NLOPT_XTOL_REACHED	00h:26m:08.102s
87	87	522908.5287676218	836844.4782102323	469391.5035512122	2510592.491711588	-233382108.02711043	NLOPT_XTOL_REACHED	00h:26m:08.102s
88	88	521633.1441430288	834990.3704067995	469558.7365491088	2514108.5167937046	-233295421.6738891	NLOPT_XTOL_REACHED	00h:26m:08.102s
89	89	522509.9294762982	833948.8906505944	469541.6063073854	2511675.611474889	-233322604.16735017	NLOPT_XTOL_REACHED	00h:26m:08.102s
90	90	522634.57568582456	837109.915580043	468420.8308756364	2510198.1897505014	-233298558.32266837	NLOPT_XTOL_REACHED	00h:26m:08.102s
91	91	522818.386052897	839125.677241026	469586.3496154487	2507517.416530025	-233435501.89506027	NLOPT_XTOL_REACHED	00h:26m:08.102s
92	92	523218.9368164537	834020.3182105874	470168.95983401936	2515749.8573242943	-233413450.52978492	NLOPT_XTOL_REACHED	00h:26m:08.102s
93	93	522088.3848832754	837091.9010426323	468950.28758383536	2511404.618712486	-233294324.94979647	NLOPT_XTOL_REACHED	00h:26m:08.102s
94	94	521697.86571292975	839041.9102105611	468855.90885252564	2506722.426087197	-233292851.81592456	NLOPT_XTOL_REACHED	00h:26m:08.102s
95	95	521125.19308105955	840147.5817466759	468494.71441440244	2503052.9182096254	-233245904.9340083	NLOPT_XTOL_REACHED	00h:26m:08.102s
96	96	522686.21130126045	834412.8099268952	468386.76030139596	2510110.900400066	-233250429.41440707	NLOPT_XTOL_REACHED	00h:26m:08.102s
97	97	522371.2157295427	833235.3092682442	468782.5362804706	2510303.4337316197	-233219473.84069034	NLOPT_XTOL_REACHED	00h:26m:08.102s
98	98	522892.8462156126	835484.3858807945	468903.3876065306	2513803.425752977	-233335576.6904496	NLOPT_XTOL_REACHED	00h:26m:08.102s
99	99	521439.2419451579	837770.733589971	468985.54398589954	2506839.3801654363	-233252003.1475716	NLOPT_XTOL_REACHED	00h:26m:08.102s
