	idx	Ne_A	Ne_A_B	Ne_B	T	likelihood	me	nlopt_exit_code	nlopt_time
66	66	530953.1967569828	712963.8199020727	447179.8043179271	2799631.42155144	-232974195.24240315	1.5107389060148752e-08	NLOPT_XTOL_REACHED	39h:47m:55.009s
67	67	533171.2210059839	711106.0391480534	447560.6617868043	2805665.446996345	-233149821.1605796	1.5125149493068532e-08	NLOPT_XTOL_REACHED	39h:47m:55.009s
68	68	534653.3482786359	711641.4796308058	448172.62059915904	2805396.2385190083	-233275298.785899	1.4914351010545312e-08	NLOPT_XTOL_REACHED	39h:47m:55.009s
69	69	533641.1744531484	713279.8625018188	447978.1365773617	2799875.0905291005	-233195415.11944577	1.484545281838815e-08	NLOPT_XTOL_REACHED	39h:47m:55.009s
70	70	533642.565787302	711053.1422630091	449030.2008234217	2806694.3911742205	-233245779.07748708	1.4857107042834881e-08	NLOPT_XTOL_REACHED	39h:47m:55.009s
71	71	534349.4020384593	710309.0608348913	448094.1619253515	2807268.1389999855	-233221271.7580977	1.4904765166625533e-08	NLOPT_XTOL_REACHED	39h:47m:55.009s
72	72	533740.1126601064	708297.6118427062	447785.1842803401	2813545.204521192	-233191409.32734668	1.523157390262642e-08	NLOPT_XTOL_REACHED	39h:47m:55.009s
73	73	534966.6125626488	707323.1583977418	448750.78839935095	2816304.9194089007	-233335022.30858067	1.5090218664779536e-08	NLOPT_XTOL_REACHED	39h:47m:55.009s
74	74	534430.2237762256	706145.9737095485	448922.31540183275	2812473.167115895	-233273373.36598536	1.5102406334464534e-08	NLOPT_XTOL_REACHED	39h:47m:55.009s
75	75	533633.0734334057	709978.486640417	448390.2451346024	2809997.1925910786	-233228245.39673072	1.492967233595913e-08	NLOPT_XTOL_REACHED	39h:47m:55.009s
76	76	534693.8955619282	713448.8571090646	448942.7586333054	2803073.095729744	-233333352.78927308	1.4937131394329398e-08	NLOPT_XTOL_REACHED	39h:47m:55.009s
77	77	534031.990667425	708596.3711071988	448220.8061696506	2810587.9453959176	-233212694.2756129	1.5023903998826358e-08	NLOPT_XTOL_REACHED	39h:47m:55.009s
78	78	534223.7184415137	708150.7584245661	447948.59735008416	2813981.4374204967	-233236707.33880457	1.5173753613271804e-08	NLOPT_XTOL_REACHED	39h:47m:55.009s
79	79	535059.8572346545	704933.6535619815	449300.7711152442	2821237.740727434	-233382182.24203253	1.5185862908923114e-08	NLOPT_XTOL_REACHED	39h:47m:55.009s
80	80	533511.9410446817	708438.4160006455	448160.9786075026	2814520.761592375	-233216387.7160088	1.5202372157214873e-08	NLOPT_XTOL_REACHED	39h:47m:55.009s
81	81	533964.2918223853	704048.2153592014	449346.42760799814	2820599.755869541	-233255494.76713252	1.49527447818046e-08	NLOPT_XTOL_REACHED	39h:47m:55.009s
82	82	533148.3409265638	711201.158187969	448167.3683936689	2801545.6332655833	-233139780.63668117	1.4866361656745768e-08	NLOPT_XTOL_REACHED	39h:47m:55.009s
83	83	534168.3308391924	710143.6366819814	449639.5645455518	2806414.8429702995	-233317744.14311868	1.4986052864298168e-08	NLOPT_XTOL_REACHED	39h:47m:55.009s
84	84	534034.2054439844	704959.3800774758	449544.6420525461	2818802.386550458	-233307442.06900582	1.513187596598727e-08	NLOPT_XTOL_REACHED	39h:47m:55.009s
85	85	532178.3138883966	708712.8046745567	448478.1439442765	2809757.303928592	-233125888.0556124	1.5004215685151583e-08	NLOPT_XTOL_REACHED	39h:47m:55.009s
86	86	533473.0048852783	708662.9902339267	448369.2550022128	2811612.242576628	-233197110.34073207	1.4872414213139925e-08	NLOPT_XTOL_REACHED	39h:47m:55.009s
87	87	533930.9427343883	709427.1565809869	448774.2626044893	2811246.541738364	-233268899.91913563	1.501007282218031e-08	NLOPT_XTOL_REACHED	39h:47m:55.009s
88	88	532508.0011685132	707923.0808594369	449151.119714455	2813545.8613307783	-233183176.9432728	1.4850361465511164e-08	NLOPT_XTOL_REACHED	39h:47m:55.009s
89	89	533590.0542894218	704219.1120676296	448605.08282552595	2817703.456758562	-233205687.8658994	1.5216849989963065e-08	NLOPT_XTOL_REACHED	39h:47m:55.009s
90	90	533520.0840802828	712046.704649481	448188.8988838446	2805219.9160412387	-233188903.39156213	1.4753455901733204e-08	NLOPT_XTOL_REACHED	39h:47m:55.009s
91	91	533925.8681251919	711504.7897098314	448747.6957512005	2809278.0819657547	-233321330.854578	1.51739149065442e-08	NLOPT_XTOL_REACHED	39h:47m:55.009s
92	92	534123.1954272642	707630.5400533911	449786.01053448534	2813617.8131086444	-233303169.98686355	1.479989614225364e-08	NLOPT_XTOL_REACHED	39h:47m:55.009s
93	93	532964.897551233	711756.2253147778	448677.7572680776	2807066.986436624	-233184528.58151668	1.4766804453072795e-08	NLOPT_XTOL_REACHED	39h:47m:55.009s
94	94	532798.3205999861	711054.6410251416	448098.35088377993	2809017.202061403	-233178862.22288892	1.5141881176998092e-08	NLOPT_XTOL_REACHED	39h:47m:55.009s
95	95	532138.5782400676	714054.8387591064	448109.20268534456	2800780.668389462	-233134003.25568563	1.4953319512833415e-08	NLOPT_XTOL_REACHED	39h:47m:55.009s
96	96	533653.2688894494	707523.8459271783	447932.4565733713	2809246.403793699	-233138099.6307188	1.490707264485397e-08	NLOPT_XTOL_REACHED	39h:47m:55.009s
97	97	533394.8778495336	705664.6563699398	448118.1720929455	2811280.6722630123	-233107113.59396154	1.5030288841921734e-08	NLOPT_XTOL_REACHED	39h:47m:55.009s
98	98	533711.8759532224	710211.6749125666	448538.2850863335	2809594.0016196463	-233225440.0426554	1.4798836672689378e-08	NLOPT_XTOL_REACHED	39h:47m:55.009s
99	99	532307.9895992943	712891.3366861498	448692.1978513242	2801858.449573753	-233142406.10685533	1.482977250273421e-08	NLOPT_XTOL_REACHED	39h:47m:55.009s
